NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
1,"Rumah Modern di Tebet dekat Stasiun, Tebet, Jakarta Selatan","0,0563","0,1101","0,0617","0,2500","0,2222","0,1111"
2,"Rumah Mewah 2 Lantai Hanya 3 Menit Ke Tebet, Tebet, Jakarta Selatan","0,0313","0,1919","0,1456","0,2500","0,3333","0,3333"
3,"Rumah Bagus Tebet komp Gudang Peluru lt 350m, Tebet, Jakarta Selatan","0,1250","0,3170","0,2236","0,5000","0,4444","0,2222"
4,"Rumah Mewah Modern Murah 3 lantai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,0620","0,2230","0,0743","0,3750","0,2222","0,2222"
5,"Rumah lama di Tebet, dekat MT Haryono dan tol dalam kota, jalan 1 mobil hanya 30M dr jln besar, Tebet, Jakarta Selatan","0,0250","0,0536","0,0713","0,1250","0,1111","0,0000"
6,"Minimalis Baru Jalan 2 Mobil Tebet Timur, Tebet, Jakarta Selatan","0,0547","0,1759","0,0312","0,3750","0,3333","0,0000"
7,"Brand New house di Tebet Barat, Tebet, Jakarta Selatan","0,0406","0,0856","0,0416","0,1250","0,2222","0,2222"
8,"Rumah Mewah di TEBET, Tebet, Jakarta Selatan","0,1328","0,3641","0,1382","0,2500","0,3333","0,0000"
9,"Rumah bagus di tebet, jakarta selatan, Tebet, Jakarta Selatan","0,1484","0,1458","0,0475","0,1250","0,2222","0,1111"
10,"#BAWAHNJOP#MURAH#CASHONLY#LELANG# RUMAH ASEM BARIS RAYAI COCOK UNTUK USAHA DEKAT SAAS, Tebet, Jakarta Selatan","0,1797","0,1289","0,6872","0,2500","0,1111","0,5556"
11,"Rukan Baru Siap Pakai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,0563","0,1101","0,0617","0,3750","0,3333","0,1111"
12,"Rumah bebas banjir di kebon baru tebet, Tebet, Jakarta Selatan","0,0313","0,0593","0,0669","0,2500","0,1111","0,1111"
13,"Rumah jalan 2 mobil, Tebet, Jakarta Selatan","0,0781","0,3170","0,0713","0,3750","0,3333","0,0000"
14,"Rumah standard hitung tanah di tebet dalam jakarta selatan, Tebet, Jakarta Selatan","0,1016","0,0818","0,1478","0,3750","0,1111","0,1111"
15,"RUMAH MEWAH CANTIK DI MENTENG DALAM TEBET JAKARTA SELATAN, Tebet, Jakarta Selatan","0,2656","0,1289","0,1464","0,3750","0,2222","0,2222"
16,"BRAND NEW 3 LANTAI DENGAN FASILITAS KOLAM RENANG DI TEBET - JAKSEL, Tebet, Jakarta Selatan","0,1359","0,3641","0,1441","0,3750","0,4444","0,3333"
17,"Rumah mewah 2 Lantai Murah full furnished bebas banjir di lokasi strategis rasamala tebet jakarta selatan, Tebet, Jakarta Selatan","0,2031","0,2230","0,4799","0,7500","0,4444","0,1111"
18,"Rumah di Tebet timur, Tebet, Jakarta Selatan","0,1094","0,2371","0,1218","0,6250","0,2222","0,1111"
